"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
429815,"NZ-0029","small_airport","Fox Glacier Aerodrome",-43.46111,170.01702,NA,"OC","NZ","NZ-WTC","Fox Glacier","no","","FGL","NZFO","","","https://en.wikipedia.org/wiki/Fox_Glacier_Aerodrome",""
5023,"NZAA","large_airport","Auckland International Airport",-37.01199,174.786331,23,"OC","NZ","NZ-AUK","Auckland","yes","NZAA","AKL","NZAA","","http://www.auckland-airport.co.nz/","https://en.wikipedia.org/wiki/Auckland_International_Airport",""
5024,"NZAP","medium_airport","Taupo Airport",-38.7397003173828,176.083999633789,1335,"OC","NZ","NZ-WKO","Taupo","yes","NZAP","TUO","NZAP","","","https://en.wikipedia.org/wiki/Taupo_Airport",""
5025,"NZAR","medium_airport","Ardmore Airport",-37.0297012329102,174.973007202148,111,"OC","NZ","NZ-AUK","Manurewa","no","NZAR","AMZ","NZAR","","http://www.nzar.co.nz/","https://en.wikipedia.org/wiki/Ardmore_Airport",""
29672,"NZAS","small_airport","Ashburton Airport",-43.903301,171.796997,302,"OC","NZ","NZ-CAN","Ashburton","no","NZAS","ASG","NZAS","","https://www.ashburtondc.govt.nz/community-facilities/ashburton-airport","https://en.wikipedia.org/wiki/Ashburton_Aerodrome",""
5026,"NZCH","large_airport","Christchurch International Airport",-43.489029,172.532065,123,"OC","NZ","NZ-CAN","Christchurch","yes","NZCH","CHC","NZCH","","http://www.christchurchairport.co.nz/","https://en.wikipedia.org/wiki/Christchurch_International_Airport",""
5027,"NZCI","medium_airport","Chatham Islands / Tuuta Airport",-43.81189,-176.46514,43,"OC","NZ","NZ-WGN","Te One","yes","NZCI","CHT","NZCI","","","https://en.wikipedia.org/wiki/Chatham_Islands_/_Tuuta_Airport","Karewa"
29804,"NZCX","small_airport","Coromandel Airport",-36.791698,175.509003,10,"OC","NZ","NZ-WKO","Coromandel","no","NZCX","CMV","NZCX","","","https://en.wikipedia.org/wiki/Coromandel_Aerodrome",""
29817,"NZDA","small_airport","Dargaville Aerodrome",-35.939701,173.893997,10,"OC","NZ","NZ-NTL","Dargaville","no","NZDA","DGR","NZDA","","","https://en.wikipedia.org/wiki/Dargaville_Aerodrome",""
5028,"NZDN","medium_airport","Dunedin International Airport",-45.928101,170.197998,4,"OC","NZ","NZ-OTA","Dunedin","yes","NZDN","DUD","NZDN","","http://www.dnairport.co.nz/","https://en.wikipedia.org/wiki/Dunedin_International_Airport",""
29877,"NZFJ","small_airport","Franz Josef Aerodrome",-43.3630981445312,170.134002685547,240,"OC","NZ","NZ-WTC","","no","","WHO","NZFJ","","","",""
29913,"NZGB","small_airport","Great Barrier Aerodrome",-36.2414016723633,175.47200012207,20,"OC","NZ","NZ-AUK","Claris","no","NZGB","GBZ","NZGB","","","https://en.wikipedia.org/wiki/Great_Barrier_Aerodrome",""
29917,"NZGM","small_airport","Greymouth Airport",-42.4617,171.190002,10,"OC","NZ","NZ-WTC","","no","NZGM","GMN","NZGM","","","https://en.wikipedia.org/wiki/Greymouth_Airport",""
5030,"NZGS","medium_airport","Gisborne Airport",-38.6633,177.977997,15,"OC","NZ","NZ-GIS","Gisborne","yes","NZGS","GIS","NZGS","","https://gisborneairport.nz/","https://en.wikipedia.org/wiki/Gisborne_Airport",""
5031,"NZGT","medium_airport","Glentanner Airport",-43.9067001342773,170.128005981445,1824,"OC","NZ","NZ-CAN","Glentanner Station","no","NZGT","GTN","NZGT","","","https://en.wikipedia.org/wiki/Glentanner_Aerodrome","Lake Pukaki"
5032,"NZHK","medium_airport","Hokitika Airfield",-42.7136001586914,170.985000610352,146,"OC","NZ","NZ-WTC","","yes","NZHK","HKK","NZHK","","","https://en.wikipedia.org/wiki/Hokitika_Airport",""
