"SA12018_V1_00","CURPop","CNPop","UnitRecDataSrce_IndForm","UnitRecDataSrce_HhldList","UnitRecDataSrce_AdminEnum","UnitRecDataSrce_Total","Sex_Male","Sex_Female","Sex_Total","Age5year_0_4_years","Age5year_5_9_years","Age5year_10_14_years","Age5year_15_19_years","Age5year_20_24_years","Age5year_25_29_years","Age5year_30_34_years","Age5year_35_39_years","Age5year_40_44_years","Age5year_45_49_years","Age5year_50_54_years","Age5year_55_59_years","Age5year_60_64_years","Age5year_65_69_years","Age5year_70_74_years","Age5year_75_79_years","Age5year_80_84_years","Age5year_Over85_years","Age5year_Total","Median_Age_single_year","Agelifecyclegroup_Under15","Agelifecyclegroup_15_29","Agelifecyclegroup_30_64","Agelifecyclegroup_Over65","Agelifecyclegroup_Total","0_4_years_Male","0_4_years_Female","5_9_years_Male","5_9_years_Female","10_14_years_Male","10_14_years_Female","15_19_years_Male","15_19_years_Female","20_24_years_Male","20_24_years_Female","25_29_years_Male","25_29_years_Female","30_34_years_Male","30_34_years_Female","35_39_years_Male","35_39_years_Female","40_44_years_Male","40_44_years_Female","45_49_years_Male","45_49_years_Female","50_54_years_Male","50_54_years_Female","55_59_years_Male","55_59_years_Female","60_64_years_Male","60_64_years_Female","65_69_years_Male","65_69_years_Female","70_74_years_Male","70_74_years_Female","75_79_years_Male","75_79_years_Female","80_84_years_Male","80_84_years_Female","Over85_Male","Over85_Female","Total_Male","Total_Female","Male_Female_Total","Median_Age_Male","Median_Age_Female","Median_Age_Total","Years_at_UR_0_years","Years_at_UR_1_4_years","Years_at_UR_5_9_years","Years_at_UR_10_14_years","Years_at_UR_15_29_years","Years_at_UR_Over30_years","Years_at_UR_Total_stated","Years_at_UR_NEI","Years_at_UR_Total","UR_5yr_ago_Same","UR_5yr_ago_ElsewhereNZ","UR_5yr_ago_Not_born","UR_5yr_ago_Overseas","UR_5yr_ago_No_fixed_abode","UR_5yr_ago_Total_stated","UR_5yr_ago_NEI","UR_5yr_ago_Total","UR_1yr_ago_Same","UR_1yr_ago_ElsewhereNZ","UR_1yr_ago_Not_born","UR_1yr_ago_Overseas","UR_1yr_ago_No_fixed_abode","UR_1yr_ago_Total_stated","UR_1yr_ago_NEI","UR_1yr_ago_Total","Birthplace_NZ","Birthplace_Overseas","Birthplace_Total_stated","Birthplace_NEI","Birthplace_Total","Birthpl_Brd_NZ","Birthpl_Brd_Australia","Birthpl_Brd_Pacific_Is","Birthpl_Brd_UK_and_Ireland","Birthpl_Brd_Europe","Birthpl_Brd_North_America","Birthpl_Brd_Asia","Birthpl_Brd_MidEast_Africa","Birthpl_Brd_Other","Birthpl_Brd_Total_stated","Birthpl_Brd_NEI","Birthpl_Brd_Total","ArrivalNZ_Less_one_year_OB","ArrivalNZ_1_year_OB","ArrivalNZ_2_years_OB","ArrivalNZ_3_years_OB","ArrivalNZ_4_years_OB","ArrivalNZ_5_9_years_OB","ArrivalNZ_10_19_years_OB","ArrivalNZ_20_years_more_OB","ArrivalNZ_Total_stated_OB","ArrivalNZ_NEI_OB","ArrivalNZ_Total_OB","Ethnicity_L1_European","Ethnicity_L1_Maori","Ethnicity_L1_Pacific_Ppls","Ethnicity_L1_Asian","Ethnicity_L1_MELAA","Ethnicity_L1_Other","Ethnicity_L2_New_Zealander","Ethnicity_L2_Other_nec","Ethnicity_L1_Total_stated","Ethnicity_L1_NEI","Ethnicity_Total","Languages_English","Languages_Maori","Languages_Samoan","Languages_NZ_Sign_Language","Languages_Other","Languages_None","Languages_Total_stated","Languages_NEI","Languages_Total","Maori_Maori_descent","Maori_No_Maori_descent","Maori_Dont_know","Maori_Total_stated","Maori_NEI","Maori_Total"
"7022090",120,126,114,0,6,120,54,69,120,12,3,3,6,9,9,9,15,9,9,6,3,6,6,6,3,0,0,120,36.4,15,27,60,18,120,3,6,3,3,3,3,3,3,6,6,3,6,6,6,6,9,3,6,3,6,3,3,3,0,3,3,3,3,3,3,3,0,0,0,0,0,54,69,120,36.8,36.2,36.4,21,36,21,6,12,15,114,6,120,45,42,12,3,0,102,18,120,90,15,6,3,0,114,6,120,87,33,120,3,120,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,3,0,0,0,3,9,18,33,0,33,78,21,15,30,9,3,3,0,120,0,120,111,6,3,3,39,6,120,0,120,24,96,0,120,0,120
"7020838",159,159,138,9,12,159,75,87,159,6,12,9,15,18,9,3,6,12,12,24,15,6,3,6,0,0,0,159,38.7,24,45,75,12,159,0,3,3,9,6,3,6,9,6,15,6,3,0,0,3,3,3,6,6,6,12,12,6,9,6,0,0,3,3,3,0,0,0,3,0,0,75,87,159,40.2,36.2,38.7,18,27,42,21,15,12,138,21,159,78,48,6,6,0,132,27,159,120,12,3,3,0,138,21,159,126,27,153,6,159,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,0,3,0,3,3,15,27,0,27,150,9,9,6,0,3,3,0,159,0,159,156,0,0,0,15,3,159,0,159,12,141,6,159,0,159
"7021146",0,0,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,0,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0
"7021694",273,270,255,3,12,273,135,138,273,15,18,9,24,15,24,21,24,24,27,12,15,15,12,12,3,3,0,273,38,42,63,135,33,273,12,6,6,12,6,0,15,9,12,6,9,15,9,9,12,12,12,12,9,18,6,6,9,9,9,6,6,6,6,6,0,3,3,0,0,0,135,138,273,37.5,38.6,38,42,78,75,18,36,9,255,18,273,72,114,15,33,0,234,39,273,210,27,6,9,0,252,21,273,162,108,270,3,273,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,9,6,3,9,12,21,39,105,0,108,177,15,6,84,12,3,3,0,273,0,273,261,6,6,0,72,6,273,0,273,15,255,3,273,0,273
"7021729",120,117,105,0,12,120,54,66,120,9,6,3,0,9,9,6,6,6,9,12,9,12,9,6,0,3,0,120,46.2,15,21,63,15,120,3,3,0,3,0,3,0,0,6,6,3,3,3,3,3,3,3,3,6,3,6,6,3,9,9,3,3,6,0,3,0,0,0,3,0,0,54,66,120,47.4,42.8,46.2,18,48,24,18,0,0,105,12,120,33,45,9,12,0,99,18,120,78,15,3,6,0,105,12,120,75,45,120,0,120,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,6,6,3,3,0,6,9,9,45,0,45,84,6,0,33,0,3,0,0,120,0,120,108,0,0,0,33,3,120,0,120,6,111,0,120,0,120
"7021905",153,150,135,6,12,153,75,78,153,9,18,12,9,3,9,18,9,15,12,12,18,3,3,3,0,0,0,153,36.1,39,18,87,9,153,6,3,9,12,0,6,3,6,0,3,6,3,6,12,6,6,6,6,9,3,6,6,9,6,3,0,3,3,3,0,0,0,0,0,0,0,75,78,153,40.8,32.4,36.1,9,60,24,15,18,3,132,21,153,57,69,9,9,0,144,9,153,120,9,0,6,0,135,21,153,111,42,153,0,153,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,3,6,0,3,6,12,12,42,0,42,126,21,6,21,3,0,0,0,153,0,153,147,0,0,3,24,6,153,0,153,21,129,6,153,0,153
"7021908",132,126,126,3,6,132,63,72,132,0,3,15,9,6,9,12,3,9,18,18,9,9,6,3,3,0,0,132,45.1,18,24,75,15,132,0,0,0,3,9,6,3,9,3,3,6,3,6,6,3,3,3,3,9,9,9,9,6,3,3,9,6,0,0,3,0,0,0,0,3,0,63,72,132,46.8,43,45.1,12,30,18,21,33,9,123,9,132,75,45,0,6,0,126,9,132,111,9,0,0,0,126,9,132,105,27,129,3,132,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,3,0,0,0,3,15,27,0,27,111,12,6,24,3,0,0,0,132,0,132,126,3,3,0,27,0,132,0,132,15,120,0,132,0,132
"7021999",216,210,186,6,24,216,117,99,216,12,9,6,12,6,18,15,18,21,15,21,24,9,9,9,6,3,0,216,41.4,30,36,123,27,216,6,6,3,9,3,3,9,6,3,6,9,9,6,9,9,12,12,12,9,6,15,6,18,6,3,6,6,0,6,6,3,0,3,0,0,0,117,99,216,47.1,38,41.4,48,63,30,12,18,6,177,39,216,63,63,12,33,0,171,45,216,135,24,3,21,0,183,33,216,126,87,213,3,216,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,12,6,3,6,3,21,12,21,87,0,87,96,30,30,45,27,3,0,3,216,0,216,192,6,21,0,48,3,216,0,216,42,171,3,216,0,216
"7022056",87,90,78,6,6,87,42,45,87,3,6,6,3,3,9,9,9,9,9,6,6,3,3,3,0,0,0,87,35.8,15,15,54,3,87,3,0,3,0,3,3,0,3,0,3,6,3,3,3,3,6,6,3,3,6,3,3,3,6,0,3,0,0,3,0,0,0,0,0,0,0,42,45,87,33.9,36.4,35.8,9,24,18,15,12,3,78,12,87,42,18,3,6,0,69,18,87,69,9,0,0,0,75,12,87,60,27,87,0,87,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,0,3,3,3,6,12,27,0,27,78,0,0,9,3,0,0,0,87,0,87,87,0,0,0,18,3,87,0,87,9,75,0,87,0,87
"7022137",165,165,138,12,18,165,81,87,165,15,15,6,6,9,18,12,24,6,9,9,6,6,12,3,3,3,3,165,34.2,39,33,69,24,165,9,9,6,9,6,3,3,3,3,6,9,9,6,9,12,12,3,6,3,6,3,3,0,6,3,3,6,6,3,3,0,3,0,0,0,0,81,87,165,33.6,34.9,34.2,39,36,27,6,15,9,132,30,165,51,57,15,15,0,138,27,165,96,33,0,6,0,135,30,165,102,63,162,3,165,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,6,3,0,3,9,18,18,63,3,63,81,21,27,48,12,0,0,0,165,0,165,147,6,9,0,45,6,165,0,165,30,135,0,165,0,165
