"","iata1","iata2"
"1","AKL","CHC"
"2","AKL","DUD"
"3","AKL","WLG"
"4","AKL","ZQN"
"5","CHC","AKL"
"6","CHC","WLG"
"7","DUD","AKL"
"8","WLG","AKL"
"9","WLG","CHC"
"10","ZQN","AKL"
"11","AKL","BHE"
"12","AKL","CHC"
"13","AKL","DUD"
"14","AKL","GIS"
"15","AKL","HLZ"
"16","AKL","KAT"
"17","AKL","KKE"
"18","AKL","NPE"
"19","AKL","NPL"
"20","AKL","NSN"
"21","AKL","PMR"
"22","AKL","PPQ"
"23","AKL","ROT"
"24","AKL","TRG"
"25","AKL","TUO"
"26","AKL","WAG"
"27","AKL","WHK"
"28","AKL","WLG"
"29","AKL","WRE"
"30","AKL","ZQN"
"31","BHE","AKL"
"32","BHE","CHC"
"33","BHE","WLG"
"34","CHC","AKL"
"35","CHC","BHE"
"36","CHC","DUD"
"37","CHC","HKK"
"38","CHC","HLZ"
"39","CHC","IVC"
"40","CHC","NPE"
"41","CHC","NPL"
"42","CHC","NSN"
"43","CHC","PMR"
"44","CHC","PPQ"
"45","CHC","ROT"
"46","CHC","TRG"
"47","CHC","WLG"
"48","CHC","ZQN"
"49","DUD","AKL"
"50","DUD","CHC"
"51","DUD","WLG"
"52","GIS","AKL"
"53","GIS","WLG"
"54","HKK","CHC"
"55","HLZ","AKL"
"56","HLZ","CHC"
"57","HLZ","PMR"
"58","HLZ","WLG"
"59","IVC","CHC"
"60","IVC","WLG"
"61","KAT","AKL"
"62","KKE","AKL"
"63","NPE","AKL"
"64","NPE","CHC"
"65","NPE","WLG"
"66","NPL","AKL"
"67","NPL","CHC"
"68","NPL","WLG"
"69","NSN","AKL"
"70","NSN","CHC"
"71","NSN","PMR"
"72","NSN","WLG"
"73","PMR","AKL"
"74","PMR","CHC"
"75","PMR","HLZ"
"76","PMR","NSN"
"77","PMR","WLG"
"78","PPQ","AKL"
"79","PPQ","CHC"
"80","ROT","AKL"
"81","ROT","CHC"
"82","ROT","WLG"
"83","TIU","WLG"
"84","TRG","AKL"
"85","TRG","CHC"
"86","TRG","WLG"
"87","TUO","AKL"
"88","TUO","WLG"
"89","WAG","AKL"
"90","WHK","AKL"
"91","WLG","AKL"
"92","WLG","BHE"
"93","WLG","CHC"
"94","WLG","DUD"
"95","WLG","GIS"
"96","WLG","HLZ"
"97","WLG","IVC"
"98","WLG","NPE"
"99","WLG","NPL"
"100","WLG","NSN"
"101","WLG","PMR"
"102","WLG","ROT"
"103","WLG","TIU"
"104","WLG","TRG"
"105","WLG","TUO"
"106","WLG","WRE"
"107","WLG","WSZ"
"108","WLG","ZQN"
"109","WRE","AKL"
"110","WRE","WLG"
"111","WSZ","WLG"
"112","ZQN","AKL"
"113","ZQN","CHC"
"114","ZQN","WLG"
