SA12023_V1_00,CURPop
7000201,0
7003256,0
7011093,0
7011116,0
7012129,0
7013293,0
7013323,3
7014674,0
7014675,0
7014679,0
7014682,0
7014842,0
7015090,0
7015091,0
7015095,0
7015101,0
7015102,0
7015104,0
7015763,0
7022413,0
7022456,0
7022869,0
7022871,0
7023545,0
7023756,0
7023805,0
7023816,0
7023821,0
7023823,0
7023826,0
7023827,0
7026644,0
7026649,0
7026667,0
7027012,0
7027018,0
7027104,0
7027550,0
7027552,0
7027555,0
7027565,0
7027573,0
7027580,0
7027581,0
7027637,0
7027639,0
7027644,0
7027646,0
7027648,0
7027649,0
7027800,0
7027865,0
7027920,0
7027924,0
7027925,0
7028031,0
7028138,0
7029021,0
7029030,0
7029118,0
7029122,0
7029133,0
7029134,0
7029179,0
7029190,0
7029242,0
7029920,0
7033029,0
7033044,0
7033046,3
7037096,0
7000000,222
7000004,156
7000005,237
7000006,93
7000008,258
7000009,153
7000011,159
7000019,285
7000020,180
7000021,207
7000022,216
7000023,204
7000024,225
7000025,99
7000026,87
7000027,156
7000028,177
7000029,183
7000030,210
7000031,264
7000032,246
7000033,165
7000036,249
7000040,231
7000041,159
7000045,153
7000046,159
7000047,165
7000048,114
7000053,129
7000056,177
7000057,156
7000059,231
7000060,198
7000061,135
7000062,105
7000063,159
7000065,183
7000066,111
7000067,132
7000068,192
7000069,141
7000070,213
7000071,216
7000072,126
7000073,120
7000078,243
7000079,180
7000080,153
7000081,174
7000082,216
7000083,126
7000084,189
7000085,306
7000086,165
7000087,120
7000089,204
7000090,168
7000091,168
7000092,147
7000093,108
7000094,153
7000095,189
7000096,216
7000097,165
7000098,153
7000099,132
7000100,198
7000101,210
7000102,141
7000103,114
7000105,171
7000106,240
7000107,207
7000108,108
7000109,165
7000110,153
7000111,135
7000112,204
7000113,138
7000114,234
7000115,156
7000117,123
7000118,162
7000119,177
7000120,219
7000121,150
7000122,240
7000123,171
7000124,138
7000125,165
7000127,243
7000128,219
7000129,183
7000130,129
7000131,216
7000132,249
7000133,237
7000135,132
7000136,222
7000137,195
7000140,171
7000142,222
7000143,231
7000145,201
7000146,153
7000147,201
7000149,165
7000150,114
7000151,117
7000152,111
7000153,264
7000154,207
7000155,159
7000161,135
7000162,174
7000163,150
7000164,183
7000165,222
7000166,147
7000167,243
7000168,186
7000169,168
7000170,255
7000172,156
7000173,162
7000174,126
7000175,132
7000176,117
7000180,138
7000181,126
7000182,213
7000183,165
7000184,96
7000185,189
7000186,180
7000187,138
7000188,144
7000189,123
7000190,132
7000191,144
7000192,138
7000193,171
7000194,120
7000195,180
7000196,150
7000197,168
7000198,198
7000199,153
7000200,213
7000202,237
7000204,144
7000205,243
7000207,165
7000210,144
7000211,267
7000212,246
7000214,162
7000215,195
7000216,153
7000217,231
7000218,168
7000219,252
7000220,273
7000222,159
7000225,234
7000226,186
7000227,102
7000228,153
7000230,222
7000231,156
7000232,231
7000233,189
7000234,165
7000235,153
7000237,165
7000238,150
7000239,225
7000241,186
7000242,159
7000244,198
7000245,156
7000246,129
7000247,216
7000248,153
7000250,186
7000251,120
7000253,222
7000256,153
7000258,204
7000259,156
7000260,147
7000261,198
7000262,93
7000263,171
7000264,153
7000265,189
7000268,57
7000269,189
7000270,174
7000271,192
7000273,153
7000274,159
7000276,228
7000277,228
7000278,99
7000280,195
7000281,180
7000282,123
7000283,207
7000284,177
7000285,126
7000286,198
7000287,132
7000288,126
7000289,159
7000290,129
7000291,252
7000292,213
7000293,150
7000294,147
7000296,177
7000297,183
7000298,180
7000299,189
7000304,213
7000305,246
7000306,159
7000311,153
7000312,129
7000314,219
7000315,189
7000316,132
7000317,126
7000318,159
7000319,207
7000320,225
7000322,240
7000324,204
7000325,159
7000326,114
7000327,138
7000330,174
7000331,144
7000332,168
7000333,138
7000334,231
7000335,219
7000336,210
7000337,162
7000339,198
7000342,237
7000343,195
7000345,168
7000346,111
7000347,156
7000348,180
7000349,183
7000350,216
7000351,147
7000352,174
