x,y,pop_est
1746375,5421125,5.41
1746625,5421125,37.87
1746875,5421125,14.43
1747375,5421125,55.53
1747625,5421125,136.84
1747875,5421125,108.39
1746875,5421375,34.26
1747125,5421375,19.0
1747375,5421375,198.0
1747625,5421375,36.47
1747875,5421375,204.78
1748125,5421375,72.75
1748625,5421375,29.76
1748875,5421375,68.31
1747125,5421625,123.92
1747375,5421625,221.05
1747625,5421625,169.82
1747875,5421625,240.23
1748125,5421625,195.92
1748375,5421625,195.33
1748625,5421625,59.02
1748875,5421625,141.38
1749125,5421625,28.89
1749375,5421625,4.44
1749625,5421625,2.11
1749875,5421625,14.77
1752375,5421625,4.26
1752625,5421625,6.38
1742125,5421875,2.32
1742875,5421875,2.32
1747125,5421875,11.03
1747375,5421875,168.09
1747625,5421875,256.06
1747875,5421875,258.83
1748125,5421875,254.61
1748375,5421875,222.68
1748625,5421875,178.78
1748875,5421875,125.48
1749125,5421875,104.64
1749375,5421875,104.57
1749625,5421875,4.22
1749875,5421875,61.19
1752625,5421875,53.19
1742625,5422125,2.32
1743125,5422125,2.32
1747125,5422125,53.72
1747375,5422125,60.32
1747625,5422125,173.18
1747875,5422125,148.38
1748125,5422125,291.35
1748375,5422125,245.38
1748625,5422125,199.54
1748875,5422125,230.68
1749125,5422125,90.24
1749375,5422125,8.44
1749625,5422125,170.73
1749875,5422125,217.88
1751625,5422125,16.5
1751875,5422125,68.67
1752375,5422125,41.74
1752625,5422125,39.78
1742625,5422375,2.32
1747125,5422375,41.12
1747375,5422375,120.65
1747625,5422375,238.99
1747875,5422375,49.32
1748125,5422375,177.08
1748375,5422375,269.31
1748625,5422375,180.08
1748875,5422375,159.05
1749125,5422375,192.99
1749375,5422375,32.45
1749625,5422375,173.51
1749875,5422375,94.58
1751375,5422375,13.5
1751625,5422375,5.83
1751875,5422375,253.5
1752125,5422375,121.36
1752375,5422375,227.26
1752625,5422375,55.02
1752875,5422375,3.61
1743125,5422625,2.32
1746875,5422625,49.35
1747125,5422625,24.67
1748125,5422625,195.3
1748375,5422625,329.46
1748625,5422625,327.1
1748875,5422625,211.52
1749125,5422625,125.0
1749375,5422625,71.24
1749625,5422625,117.44
1749875,5422625,102.64
1751875,5422625,69.34
1752125,5422625,363.8
1752375,5422625,180.5
1752625,5422625,52.04
1752875,5422625,48.8
1753125,5422625,9.04
1743125,5422875,2.32
1746375,5422875,2.06
1746875,5422875,67.85
1747125,5422875,20.44
1748125,5422875,210.6
1748375,5422875,289.85
1748625,5422875,320.91
1748875,5422875,266.59
