sa1_code,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_and_over
7021102,15.0,0.0,6.0,9.0,9.0,18.0,21.0,15.0,6.0,6.0,12.0,6.0,6.0,6.0,3.0,6.0,0.0,3.0,0.0
7021104,9.0,9.0,9.0,6.0,9.0,6.0,18.0,9.0,9.0,12.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,3.0,0.0
7021023,12.0,9.0,12.0,15.0,15.0,9.0,12.0,12.0,18.0,12.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,3.0,0.0
7020937,3.0,6.0,6.0,24.0,18.0,9.0,3.0,3.0,12.0,9.0,27.0,18.0,9.0,12.0,9.0,6.0,3.0,3.0,0.0
7020934,12.0,9.0,12.0,9.0,6.0,18.0,21.0,15.0,9.0,12.0,18.0,21.0,15.0,12.0,12.0,6.0,3.0,3.0,0.0
7021034,3.0,3.0,6.0,9.0,3.0,6.0,6.0,6.0,3.0,6.0,15.0,6.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0
7020935,6.0,9.0,9.0,12.0,9.0,6.0,9.0,12.0,15.0,6.0,9.0,15.0,15.0,12.0,0.0,9.0,3.0,0.0,3.0
7021036,3.0,9.0,12.0,9.0,6.0,3.0,9.0,6.0,9.0,0.0,12.0,6.0,6.0,6.0,0.0,3.0,3.0,3.0,0.0
7021035,12.0,15.0,9.0,9.0,9.0,18.0,30.0,21.0,18.0,12.0,18.0,9.0,6.0,6.0,3.0,6.0,0.0,0.0,3.0
7021022,9.0,18.0,9.0,6.0,6.0,15.0,18.0,21.0,12.0,9.0,15.0,9.0,6.0,6.0,6.0,0.0,3.0,3.0,3.0
7021031,9.0,9.0,12.0,12.0,18.0,3.0,3.0,15.0,12.0,12.0,9.0,12.0,6.0,6.0,6.0,3.0,3.0,0.0,0.0
7021032,9.0,18.0,18.0,3.0,9.0,21.0,15.0,12.0,18.0,9.0,12.0,9.0,12.0,6.0,6.0,0.0,3.0,3.0,0.0
7020931,15.0,12.0,12.0,15.0,12.0,9.0,9.0,18.0,18.0,21.0,15.0,18.0,6.0,6.0,3.0,3.0,0.0,3.0,0.0
7020932,6.0,9.0,21.0,21.0,3.0,6.0,12.0,9.0,9.0,21.0,21.0,21.0,12.0,6.0,9.0,6.0,3.0,3.0,0.0
7021010,12.0,15.0,9.0,9.0,6.0,12.0,15.0,18.0,12.0,21.0,12.0,15.0,6.0,9.0,6.0,0.0,3.0,0.0,0.0
7021016,18.0,9.0,15.0,9.0,21.0,21.0,18.0,12.0,15.0,9.0,15.0,12.0,6.0,12.0,3.0,6.0,3.0,3.0,0.0
7021006,6.0,12.0,12.0,9.0,9.0,12.0,12.0,12.0,6.0,9.0,6.0,3.0,9.0,3.0,3.0,0.0,0.0,3.0,0.0
7021004,6.0,18.0,18.0,15.0,12.0,18.0,9.0,9.0,15.0,18.0,6.0,15.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0
7021007,9.0,12.0,9.0,9.0,9.0,15.0,9.0,12.0,6.0,9.0,9.0,6.0,6.0,6.0,3.0,0.0,3.0,0.0,0.0
7021005,9.0,18.0,18.0,12.0,6.0,15.0,18.0,24.0,12.0,9.0,6.0,12.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
7021014,3.0,0.0,6.0,6.0,3.0,6.0,18.0,12.0,18.0,9.0,6.0,3.0,3.0,6.0,3.0,0.0,3.0,0.0,0.0
